Currency,EffectiveDate,EndingRange,Group,"Group Description",Location,"Location Type",OfferTermCode,PriceDescription,PricePerUnit,"Product Family",RateCode,RelatedTo,SKU,StartingRange,TermType,Unit,Version,"_bkt","_cd","_eventtype_color","_indextime","_raw","_si","_sourcetype","_time",eventtype,host,index,linecount,operation,punct,serviceCode,serviceName,source,sourcetype,"splunk_server","splunk_server_group",tag,"tag::eventtype",timestamp,usageType
USD,"2019-07-01",10240,"Ingested Logs","Log files generated by AWS services","Asia Pacific (Mumbai)","AWS Region",JRTCKXETXF,"$0.67 per GB log data ingested for the first 10TB - Asia Pacific (Mumbai)","0.6700000000","Data Payload","HYGQDT54G4RKQKPX.JRTCKXETXF.Q3Z75P77EN",SSNSJENVU973ECHE,HYGQDT54G4RKQKPX,0,OnDemand,GB,Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:9087",,1567190918,"""HYGQDT54G4RKQKPX"",""JRTCKXETXF"",""HYGQDT54G4RKQKPX.JRTCKXETXF.Q3Z75P77EN"",""OnDemand"",""$0.67 per GB log data ingested for the first 10TB - Asia Pacific (Mumbai)"",""2019-07-01"",""0"",""10240"",""GB"",""0.6700000000"",""USD"",""SSNSJENVU973ECHE"",""Data Payload"",""AmazonCloudWatch"",""Asia Pacific (Mumbai)"",""AWS Region"",,""Ingested Logs"",""Log files generated by AWS services"",""APS3-VendedLog-Bytes"",""PutLogEvents"",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,PutLogEvents,""""","""","".."","""",""$.__________-___()"",""--"","""","""","""",""",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand-central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"APS3-VendedLog-Bytes"
USD,"2019-07-01",Inf,"Ingested Logs","Log files generated by AWS services","Middle East (Bahrain)","AWS Region",JRTCKXETXF,"$0.063 per GB log data ingested over 50TB - Middle East (Bahrain)","0.0630000000","Data Payload","G47NP568D8ZB4SY8.JRTCKXETXF.AQTKZ3QBDA",SSNSJENVU973ECHE,G47NP568D8ZB4SY8,51200,OnDemand,GB,Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:8626",,1567190918,"""G47NP568D8ZB4SY8"",""JRTCKXETXF"",""G47NP568D8ZB4SY8.JRTCKXETXF.AQTKZ3QBDA"",""OnDemand"",""$0.063 per GB log data ingested over 50TB - Middle East (Bahrain)"",""2019-07-01"",""51200"",""Inf"",""GB"",""0.0630000000"",""USD"",""SSNSJENVU973ECHE"",""Data Payload"",""AmazonCloudWatch"",""Middle East (Bahrain)"",""AWS Region"",,""Ingested Logs"",""Log files generated by AWS services"",""MES1-VendedLog-Bytes"",""PutLogEvents"",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,PutLogEvents,""""","""","".."","""",""$.________-___()"",""--"","""","""","""","".""",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand-central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"MES1-VendedLog-Bytes"
USD,"2019-07-01",51200,"Ingested Logs","Log files generated by AWS services","Middle East (Bahrain)","AWS Region",JRTCKXETXF,"$0.125 per GB log data ingested for the next 20TB - Middle East (Bahrain)","0.1250000000","Data Payload","G47NP568D8ZB4SY8.JRTCKXETXF.AMET9K77J3",SSNSJENVU973ECHE,G47NP568D8ZB4SY8,30720,OnDemand,GB,Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:8608",,1567190918,"""G47NP568D8ZB4SY8"",""JRTCKXETXF"",""G47NP568D8ZB4SY8.JRTCKXETXF.AMET9K77J3"",""OnDemand"",""$0.125 per GB log data ingested for the next 20TB - Middle East (Bahrain)"",""2019-07-01"",""30720"",""51200"",""GB"",""0.1250000000"",""USD"",""SSNSJENVU973ECHE"",""Data Payload"",""AmazonCloudWatch"",""Middle East (Bahrain)"",""AWS Region"",,""Ingested Logs"",""Log files generated by AWS services"",""MES1-VendedLog-Bytes"",""PutLogEvents"",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,PutLogEvents,""""","""","".."","""",""$.__________-___()"",""--"","""","""","""",""",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand-central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"MES1-VendedLog-Bytes"
USD,"2019-07-01",30720,"Ingested Logs","Log files generated by AWS services","Middle East (Bahrain)","AWS Region",JRTCKXETXF,"$0.314 per GB log data ingested for the next 20TB - Middle East (Bahrain)","0.3140000000","Data Payload","G47NP568D8ZB4SY8.JRTCKXETXF.JM86AE7V7B",SSNSJENVU973ECHE,G47NP568D8ZB4SY8,10240,OnDemand,GB,Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:8590",,1567190918,"""G47NP568D8ZB4SY8"",""JRTCKXETXF"",""G47NP568D8ZB4SY8.JRTCKXETXF.JM86AE7V7B"",""OnDemand"",""$0.314 per GB log data ingested for the next 20TB - Middle East (Bahrain)"",""2019-07-01"",""10240"",""30720"",""GB"",""0.3140000000"",""USD"",""SSNSJENVU973ECHE"",""Data Payload"",""AmazonCloudWatch"",""Middle East (Bahrain)"",""AWS Region"",,""Ingested Logs"",""Log files generated by AWS services"",""MES1-VendedLog-Bytes"",""PutLogEvents"",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,PutLogEvents,""""","""","".."","""",""$.__________-___()"",""--"","""","""","""",""",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand-central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"MES1-VendedLog-Bytes"
USD,"2019-07-01",10240,"Ingested Logs","Log files generated by AWS services","Middle East (Bahrain)","AWS Region",JRTCKXETXF,"$0.63 per GB log data ingested for the first 10TB - Middle East (Bahrain)","0.6300000000","Data Payload","G47NP568D8ZB4SY8.JRTCKXETXF.Q3Z75P77EN",SSNSJENVU973ECHE,G47NP568D8ZB4SY8,0,OnDemand,GB,Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:8573",,1567190918,"""G47NP568D8ZB4SY8"",""JRTCKXETXF"",""G47NP568D8ZB4SY8.JRTCKXETXF.Q3Z75P77EN"",""OnDemand"",""$0.63 per GB log data ingested for the first 10TB - Middle East (Bahrain)"",""2019-07-01"",""0"",""10240"",""GB"",""0.6300000000"",""USD"",""SSNSJENVU973ECHE"",""Data Payload"",""AmazonCloudWatch"",""Middle East (Bahrain)"",""AWS Region"",,""Ingested Logs"",""Log files generated by AWS services"",""MES1-VendedLog-Bytes"",""PutLogEvents"",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,PutLogEvents,""""","""","".."","""",""$.__________-___()"",""--"","""","""","""",""",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand-central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"MES1-VendedLog-Bytes"
USD,"2019-07-01",Inf,"Ingested Logs","Log files generated by AWS services","AWS GovCloud (US-East)","AWS Region",JRTCKXETXF,"$0.068 per GB log data ingested over 50TB - AWS GovCloud (US) East","0.0680000000","Data Payload","Q6Q3EFG6PYMCN9E4.JRTCKXETXF.AQTKZ3QBDA",SSNSJENVU973ECHE,Q6Q3EFG6PYMCN9E4,51200,OnDemand,GB,Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:7835",,1567190918,"""Q6Q3EFG6PYMCN9E4"",""JRTCKXETXF"",""Q6Q3EFG6PYMCN9E4.JRTCKXETXF.AQTKZ3QBDA"",""OnDemand"",""$0.068 per GB log data ingested over 50TB - AWS GovCloud (US) East"",""2019-07-01"",""51200"",""Inf"",""GB"",""0.0680000000"",""USD"",""SSNSJENVU973ECHE"",""Data Payload"",""AmazonCloudWatch"",""AWS GovCloud (US-East)"",""AWS Region"",,""Ingested Logs"",""Log files generated by AWS services"",""UGE1-VendedLog-Bytes"",""PutLogEvents"",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,PutLogEvents,""""","""","".."","""",""$.________-___()_"",""--"","""","""","""","".",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand-central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"UGE1-VendedLog-Bytes"
USD,"2019-07-01",51200,"Ingested Logs","Log files generated by AWS services","AWS GovCloud (US-East)","AWS Region",JRTCKXETXF,"$0.135 per GB log data ingested for the next 20TB - AWS GovCloud (US) East","0.1350000000","Data Payload","Q6Q3EFG6PYMCN9E4.JRTCKXETXF.AMET9K77J3",SSNSJENVU973ECHE,Q6Q3EFG6PYMCN9E4,30720,OnDemand,GB,Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:7817",,1567190918,"""Q6Q3EFG6PYMCN9E4"",""JRTCKXETXF"",""Q6Q3EFG6PYMCN9E4.JRTCKXETXF.AMET9K77J3"",""OnDemand"",""$0.135 per GB log data ingested for the next 20TB - AWS GovCloud (US) East"",""2019-07-01"",""30720"",""51200"",""GB"",""0.1350000000"",""USD"",""SSNSJENVU973ECHE"",""Data Payload"",""AmazonCloudWatch"",""AWS GovCloud (US-East)"",""AWS Region"",,""Ingested Logs"",""Log files generated by AWS services"",""UGE1-VendedLog-Bytes"",""PutLogEvents"",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,PutLogEvents,""""","""","".."","""",""$.__________-___()_"",""--"","""","""","""",",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand-central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"UGE1-VendedLog-Bytes"
USD,"2019-07-01",30720,"Ingested Logs","Log files generated by AWS services","AWS GovCloud (US-East)","AWS Region",JRTCKXETXF,"$0.338 per GB log data ingested for the next 20TB - AWS GovCloud (US) East","0.3380000000","Data Payload","Q6Q3EFG6PYMCN9E4.JRTCKXETXF.JM86AE7V7B",SSNSJENVU973ECHE,Q6Q3EFG6PYMCN9E4,10240,OnDemand,GB,Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:7799",,1567190918,"""Q6Q3EFG6PYMCN9E4"",""JRTCKXETXF"",""Q6Q3EFG6PYMCN9E4.JRTCKXETXF.JM86AE7V7B"",""OnDemand"",""$0.338 per GB log data ingested for the next 20TB - AWS GovCloud (US) East"",""2019-07-01"",""10240"",""30720"",""GB"",""0.3380000000"",""USD"",""SSNSJENVU973ECHE"",""Data Payload"",""AmazonCloudWatch"",""AWS GovCloud (US-East)"",""AWS Region"",,""Ingested Logs"",""Log files generated by AWS services"",""UGE1-VendedLog-Bytes"",""PutLogEvents"",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,PutLogEvents,""""","""","".."","""",""$.__________-___()_"",""--"","""","""","""",",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand-central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"UGE1-VendedLog-Bytes"
USD,"2019-07-01",10240,"Ingested Logs","Log files generated by AWS services","AWS GovCloud (US-East)","AWS Region",JRTCKXETXF,"$0.675 per GB log data ingested for the first 10TB - AWS GovCloud (US) East","0.6750000000","Data Payload","Q6Q3EFG6PYMCN9E4.JRTCKXETXF.Q3Z75P77EN",SSNSJENVU973ECHE,Q6Q3EFG6PYMCN9E4,0,OnDemand,GB,Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:7782",,1567190918,"""Q6Q3EFG6PYMCN9E4"",""JRTCKXETXF"",""Q6Q3EFG6PYMCN9E4.JRTCKXETXF.Q3Z75P77EN"",""OnDemand"",""$0.675 per GB log data ingested for the first 10TB - AWS GovCloud (US) East"",""2019-07-01"",""0"",""10240"",""GB"",""0.6750000000"",""USD"",""SSNSJENVU973ECHE"",""Data Payload"",""AmazonCloudWatch"",""AWS GovCloud (US-East)"",""AWS Region"",,""Ingested Logs"",""Log files generated by AWS services"",""UGE1-VendedLog-Bytes"",""PutLogEvents"",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,PutLogEvents,""""","""","".."","""",""$.__________-___()_"",""--"","""","""","""",",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand-central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"UGE1-VendedLog-Bytes"
USD,"2019-07-01",Inf,"Ingested Logs","Log files generated by AWS services","South America (Sao Paulo)","AWS Region",JRTCKXETXF,"$0.09 per GB log data ingested over 50TB - South America (Sao Paulo)","0.0900000000","Data Payload","467VTCQDZUVP3S5E.JRTCKXETXF.AQTKZ3QBDA",SSNSJENVU973ECHE,467VTCQDZUVP3S5E,51200,OnDemand,GB,Current,"aws_price~5~DE5F4A2F-6D62-41EE-83B2-C5D3418DDC49","5:7595",,1567190918,"""467VTCQDZUVP3S5E"",""JRTCKXETXF"",""467VTCQDZUVP3S5E.JRTCKXETXF.AQTKZ3QBDA"",""OnDemand"",""$0.09 per GB log data ingested over 50TB - South America (Sao Paulo)"",""2019-07-01"",""51200"",""Inf"",""GB"",""0.0900000000"",""USD"",""SSNSJENVU973ECHE"",""Data Payload"",""AmazonCloudWatch"",""South America (Sao Paulo)"",""AWS Region"",,""Ingested Logs"",""Log files generated by AWS services"",""SAE1-VendedLog-Bytes"",""PutLogEvents"",,""AmazonCloudWatch"",""Current""","grandcentral.gridgig.com
aws_price","aws_cloudwatch_price_list",1567190918,,"grandcentral.gridgig.com","aws_price",1,PutLogEvents,""""","""","".."","""",""$.________-___(_)"",""--"","""","""","""","".",AmazonCloudWatch,AmazonCloudWatch,"/opt/splunk/etc/apps/grand-central/price_lists/cloudwatch_price_list.csv","aws_cloudwatch_price_list","grandcentral.gridgig.com",,,,none,"SAE1-VendedLog-Bytes"
