"Instance Type",vendor,LeaseContractLength,Location,"monthly_cost",OfferingClass,PriceDescription,PricePerUnit,serviceName,Tenancy,TermType
"m5ad.2xlarge",AWS,1yr,"Canada (Central)","247.4700000",convertible,"Linux/UNIX (Amazon VPC), m5ad.2xlarge reserved instance applied","0.3390000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5a.16xlarge",AWS,1yr,"EU (Paris)","1906.0300000",convertible,"Linux/UNIX (Amazon VPC), m5a.16xlarge reserved instance applied","2.6110000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.12xlarge",AWS,1yr,"AWS GovCloud (US)","1980.4900000",convertible,"Linux/UNIX (Amazon VPC), m5d.12xlarge reserved instance applied","2.7130000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5a.16xlarge",AWS,1yr,"Asia Pacific (Singapore)","1878.2900000",convertible,"Linux/UNIX (Amazon VPC), m5a.16xlarge reserved instance applied","2.5730000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.large",AWS,1yr,"Canada (Central)","67.8900000",convertible,"Linux/UNIX (Amazon VPC), m5d.large reserved instance applied","0.0930000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.16xlarge",AWS,1yr,"Asia Pacific (Tokyo)","2319.9400000",convertible,"Linux/UNIX (Amazon VPC), m5.16xlarge reserved instance applied","3.1780000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.24xlarge",AWS,1yr,"US East (Ohio)","2471.0500000",convertible,"Linux/UNIX (Amazon VPC), m5.24xlarge reserved instance applied","3.3850000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5a.large",AWS,1yr,"Asia Pacific (Sydney)","62.7800000",convertible,"Linux/UNIX (Amazon VPC), m5a.large reserved instance applied","0.0860000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.8xlarge",AWS,1yr,"US East (Ohio)","823.44000000",convertible,"Linux/UNIX (Amazon VPC), m5.8xlarge reserved instance applied","1.1280000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5ad.24xlarge",AWS,1yr,"Asia Pacific (Sydney)","3603.2800000",convertible,"Linux/UNIX (Amazon VPC), m5ad.24xlarge reserved instance applied","4.9360000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.16xlarge",AWS,1yr,"Asia Pacific (Seoul)","2328.7000000",convertible,"Linux/UNIX (Amazon VPC), m5d.16xlarge reserved instance applied","3.1900000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.12xlarge",AWS,1yr,"EU (Frankfurt)","1947.6400000",convertible,"Linux/UNIX (Amazon VPC), m5d.12xlarge reserved instance applied","2.6680000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.8xlarge",AWS,1yr,"US West (N. California)","1324.9500000",convertible,"Linux/UNIX (Amazon VPC), m5d.8xlarge reserved instance applied","1.8150000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.8xlarge",AWS,1yr,"EU (Paris)","1056.3100000",convertible,"Linux/UNIX (Amazon VPC), m5.8xlarge reserved instance applied","1.4470000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5ad.12xlarge",AWS,1yr,"Asia Pacific (Singapore)","1677.5400000",convertible,"Linux/UNIX (Amazon VPC), m5ad.12xlarge reserved instance applied","2.2980000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.metal",AWS,1yr,"Asia Pacific (Mumbai)","3160.9000000",convertible,"Linux/UNIX (Amazon VPC), m5d.metal reserved instance applied","4.3300000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.4xlarge",AWS,1yr,"AWS GovCloud (US-East)","558.4500000",convertible,"Linux/UNIX (Amazon VPC), m5.4xlarge reserved instance applied","0.7650000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.24xlarge",AWS,1yr,"Asia Pacific (Sydney)","3933.9700000",convertible,"Linux/UNIX (Amazon VPC), m5d.24xlarge reserved instance applied","5.3890000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.metal",AWS,1yr,"US West (N. California)","3382.8200000",convertible,"Linux/UNIX (Amazon VPC), m5.metal reserved instance applied","4.6340000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5.metal",AWS,1yr,"Canada (Central)","2733.8500000",convertible,"Linux/UNIX (Amazon VPC), m5.metal reserved instance applied","3.7450000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.16xlarge",AWS,1yr,"US West (N. California)","2649.9000000",convertible,"Linux/UNIX (Amazon VPC), m5d.16xlarge reserved instance applied","3.6300000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5a.4xlarge",AWS,1yr,"EU (Ireland)","454.7900000",convertible,"Linux/UNIX (Amazon VPC), m5a.4xlarge reserved instance applied","0.6230000000","Amazon Elastic Compute Cloud",Shared,Reserved
"m5d.2xlarge",AWS,1yr,"AWS GovCloud (US-East)","329.9600000",convertible,"Linux/UNIX (Amazon VPC), m5d.2xlarge reserved instance applied","0.4520000000","Amazon Elastic Compute Cloud",Shared,Reserved
