"Volume Type",StartingRange,EndingRange,PriceDescription,PricePerUnit,Location
Standard,512000,Inf,"$0.022 per GB - storage used / month over 500 TB","0.0220000000","EU (Paris)"
Standard,51200,512000,"$0.023 per GB - next 450 TB / month of storage used","0.0230000000","EU (Paris)"
Standard,0,51200,"$0.024 per GB - first 50 TB / month of storage used","0.0240000000","EU (Paris)"
Standard,512000,Inf,"$0.024 per GB - storage used / month over 500 TB","0.0240000000","US West (N. California)"
Standard,51200,512000,"$0.025 per GB - next 450 TB / month of storage used","0.0250000000","US West (N. California)"
Standard,0,51200,"$0.026 per GB - first 50 TB / month of storage used","0.0260000000","US West (N. California)"
Standard,512000,Inf,"$0.023 per GB - storage used / month over 500 TB","0.0230000000","Canada (Central)"
Standard,51200,512000,"$0.024 per GB - next 450 TB / month of storage used","0.0240000000","Canada (Central)"
Standard,0,51200,"$0.025 per GB - first 50 TB / month of storage used","0.0250000000","Canada (Central)"
Standard,512000,Inf,"$0.021 per GB - storage used / month over 500 TB","0.0210000000","EU (Stockholm)"
Standard,51200,512000,"$0.022 per GB - next 450 TB / month of storage used","0.0220000000","EU (Stockholm)"
Standard,0,51200,"$0.023 per GB - first 50 TB / month of storage used","0.0230000000","EU (Stockholm)"
Standard,512000,Inf,"$0.023 per GB - storage used / month over 500 TB","0.0230000000","Middle East (Bahrain)"
Standard,51200,512000,"$0.024 per GB - next 450 TB / month of storage used","0.0240000000","Middle East (Bahrain)"
Standard,0,51200,"$0.025 per GB - first 50 TB / month of storage used","0.0250000000","Middle East (Bahrain)"
Standard,512000,Inf,"$0.023 per GB - storage used / month over 500 TB","0.0230000000","Asia Pacific (Seoul)"
Standard,51200,512000,"$0.024 per GB - next 450 TB / month of storage used","0.0240000000","Asia Pacific (Seoul)"
Standard,0,51200,"$0.025 per GB - first 50 TB / month of storage used","0.0250000000","Asia Pacific (Seoul)"
Standard,512000,Inf,"$0.023 per GB - storage used / month over 500 TB","0.0230000000","Asia Pacific (Singapore)"
Standard,51200,512000,"$0.024 per GB - next 450 TB / month of storage used","0.0240000000","Asia Pacific (Singapore)"
Standard,0,51200,"$0.025 per GB - first 50 TB / month of storage used","0.0250000000","Asia Pacific (Singapore)"
Standard,512000,Inf,"$0.0355 per GB - storage used / month over 500 TB","0.0355000000","AWS GovCloud (US)"
Standard,51200,512000,"$0.037 per GB - next 450 TB / month of storage used","0.0370000000","AWS GovCloud (US)"
Standard,0,51200,"$0.039 per GB - first 50 TB / month of storage used","0.0390000000","AWS GovCloud (US)"
Standard,512000,Inf,"$0.021 per GB - storage used / month over 500 TB","0.0210000000","EU (Ireland)"
Standard,51200,512000,"$0.022 per GB - next 450 TB / month of storage used","0.0220000000","EU (Ireland)"
Standard,0,51200,"$0.023 per GB - first 50 TB / month of storage used","0.0230000000","EU (Ireland)"
Standard,512000,Inf,"$0.023 per GB - storage used / month over 500 TB","0.0230000000","Asia Pacific (Mumbai)"
Standard,51200,512000,"$0.024 per GB - next 450 TB / month of storage used","0.0240000000","Asia Pacific (Mumbai)"
Standard,0,51200,"$0.025 per GB - first 50 TB / month of storage used","0.0250000000","Asia Pacific (Mumbai)"
Standard,512000,Inf,"$0.021 per GB - storage used / month over 500 TB","0.0210000000","US West (Oregon)"
Standard,51200,512000,"$0.022 per GB - next 450 TB / month of storage used","0.0220000000","US West (Oregon)"
Standard,0,51200,"$0.023 per GB - first 50 TB / month of storage used","0.0230000000","US West (Oregon)"
Standard,512000,Inf,"$0.023 per GB - storage used / month over 500 TB","0.0230000000","Asia Pacific (Osaka-Local)"
Standard,51200,512000,"$0.024 per GB - next 450 TB / month of storage used","0.0240000000","Asia Pacific (Osaka-Local)"
Standard,0,51200,"$0.025 per GB - first 50 TB / month of storage used","0.0250000000","Asia Pacific (Osaka-Local)"
Standard,512000,Inf,"$0.0225 per GB - storage used / month over 500 TB","0.0225000000","EU (Frankfurt)"
Standard,51200,512000,"$0.0235 per GB - next 450 TB / month of storage used","0.0235000000","EU (Frankfurt)"
Standard,0,51200,"$0.0245 per GB - first 50 TB / month of storage used","0.0245000000","EU (Frankfurt)"
Standard,512000,Inf,"$0.021 per GB - storage used / month over 500 TB","0.0210000000","US East (N. Virginia)"
Standard,51200,512000,"$0.022 per GB - next 450 TB / month of storage used","0.0220000000","US East (N. Virginia)"
Standard,0,51200,"$0.023 per GB - first 50 TB / month of storage used","0.0230000000","US East (N. Virginia)"
Standard,512000,Inf,"$0.023 per GB - storage used / month over 500 TB","0.0230000000","Asia Pacific (Tokyo)"
Standard,51200,512000,"$0.024 per GB - next 450 TB / month of storage used","0.0240000000","Asia Pacific (Tokyo)"
Standard,0,51200,"$0.025 per GB - first 50 TB / month of storage used","0.0250000000","Asia Pacific (Tokyo)"
Standard,512000,Inf,"USD0.023 per GB - storage used / month over 500 TB","0.0230000000","Asia Pacific (Hong Kong)"
Standard,51200,512000,"USD0.024 per GB - next 450 TB / month of storage used","0.0240000000","Asia Pacific (Hong Kong)"
Standard,0,51200,"USD0.025 per GB - first 50 TB / month of storage used","0.0250000000","Asia Pacific (Hong Kong)"
Standard,512000,Inf,"$0.023 per GB - storage used / month over 500 TB","0.0230000000","Asia Pacific (Sydney)"
Standard,51200,512000,"$0.024 per GB - next 450 TB / month of storage used","0.0240000000","Asia Pacific (Sydney)"
Standard,0,51200,"$0.025 per GB - first 50 TB / month of storage used","0.0250000000","Asia Pacific (Sydney)"
Standard,512000,Inf,"$0.0355 per GB - storage used / month over 500 TB","0.0355000000","AWS GovCloud (US-East)"
Standard,51200,512000,"$0.037 per GB - next 450 TB / month of storage used","0.0370000000","AWS GovCloud (US-East)"
Standard,0,51200,"$0.039 per GB - first 50 TB / month of storage used","0.0390000000","AWS GovCloud (US-East)"
Standard,512000,Inf,"$0.021 per GB - storage used / month over 500 TB","0.0210000000","US East (Ohio)"
Standard,51200,512000,"$0.022 per GB - next 450 TB / month of storage used","0.0220000000","US East (Ohio)"
Standard,0,51200,"$0.023 per GB - first 50 TB / month of storage used","0.0230000000","US East (Ohio)"
Standard,512000,Inf,"$0.037 per GB - storage used / month over 500 TB","0.0370000000","South America (Sao Paulo)"
Standard,51200,512000,"$0.039 per GB - next 450 TB / month of storage used","0.0390000000","South America (Sao Paulo)"
Standard,0,51200,"$0.0405 per GB - first 50 TB / month of storage used","0.0405000000","South America (Sao Paulo)"
Standard,512000,Inf,"$0.022 per GB - storage used / month over 500 TB","0.0220000000","EU (London)"
Standard,51200,512000,"$0.023 per GB - next 450 TB / month of storage used","0.0230000000","EU (London)"
Standard,0,51200,"$0.024 per GB - first 50 TB / month of storage used","0.0240000000","EU (London)"
